texto;feeling
Gostei de um vídeo @YouTube  xinga eleitores de Bolsonaro | Felipe Moura Brasil;Negativo
"E hj tivemos @realwbonner apresentando a nova pesquisa Proconsult p presidente 2018 manipulada p esconder Lula e Fernando Haddad e inflar Bolsonaro, Marina e Alckmin.

Ops, me enganei de instituto, foi o IBOPE

";Neutro
"PESQUISA IBOPE HÁ POUCO NO JN

""Mesmo com uma forte campanha contra da Quebrando o Tabu, Catraca Livre, Folha de São Paulo, etc. Bolsonaro segue crescendo. ";Neutro
"Meus olhos ardem ao ver uma mulher defendendo Bolsonaro 
vsf";Negativo
bolsonaro é mto bosta;Negativo
@PSL_Nacional BOLSONARO!;Neutro
@andrizek @Marlos_Marliere A hipocrisia de jornalistas esquerdistas são incríveis em,Bolsonaro falou em metralha ele acha que vai acontecer de fato kklkkk mais inteligência por favor né;Positivo
Bolsonaro com um pé no 2° turno, mas cada vez mais longe de levar...;Neutro
Meu Deus gente, sério que vcs querem o #Bolsonaro ?;Negativo
Voto no Neucimar Fraga q fez muita coisa pelo bairro q moro e por vv mas nn voto no Bolsonaro;Negativo
"Bolsonaro mantém liderança; Ciro sobe e empata com Marina, diz Ibope ";Neutro
"Ibope mensurou rejeição a presidenciáveis. Bolsonaro é o mais rejeitado. Índice de rejeição:

Bolsonaro: 44%
Marina: 26%
Haddad: 23%
Alckmin: 22%
Ciro: 20%
Meirelles: 14%
Cabo Daciolo: 14%
Eymael: 14%
Alvaro Dias: 13%";Neutro
Muito satisfatório ouvir o debate político dos vizinhos, e saber que nenhum deles vai voltar no Bolsonaro. Nao preciso me preocupar em ser jogada da escada.;Negativo
@SergioAguiar07 @ECantanhede @gcamarotti @cristilobo Sérgio, os analistas do Família Em Pauta estão esquecidos que no 2o Turno os tempos de TV são iguais.... Nesse caso, o Bolsonaro poderá defender-se mais das frequentes acusações.;Positivo
"Raquel Dodge não vê crime na fala ""fuzilar a petralhada"". Para ela, Bolsonaro não se referiu especificamente, e “personificar ‘petralhada’ (…) configura elastecimento da responsabilidade penal por analogia ou por extensão, o que é absolutamente incompatível com o direito penal”. ";Neutro
Quartéis se abrem para a campanha eleitoral de Bolsonaro  via @elpais_brasil;Neutro
@CeoKirst @millylacombe Eu preciso de ajudo? Ou e vc que vota em alguém quer implantar o socialismo no Brasil. e Bolsonaro que vai me ajudar não deixando que os político de esquerda assumir o brasil, nem vou descutir com vc pq eu não descutir com desq;Positivo
#EmPauta O Ciro Gomes grita com as jornalistas @ECantanhede e @veramagalhaes  mas para a imprensa o machista é o Bolsonaro pq diz que  Presidente não pode interferir no mercado e que as mulheres têm seus direitos na CLT ;Negativo
"Ibope: Bolsonaro tem 22%; Marina e Ciro, 12%; Alckmin, 9%; Haddad, 6% ";Neutro
@BlogdoNoblat Meu bom amigo Noblat, disse e repito (me cobre): o risco de autoritarismo com Ciro é infinitamente maior do que com Bolsonaro. Cheguei a cogitar no nome dele, mas acho uma temeridade. Se eleito, contrariado, vai mudar o tom da banda.;Negativo
